,alpha,beta,t_alpha,t_beta,r_squared
Winner,0.017649203034305096,1.0166677567703388,9.109240039839353,25.02863283146,0.7635393415978341
Loser,0.0013160441922840794,1.5006319057531274,0.4644166857753696,25.258790315738686,0.7668287414244354
Winner-Loser,0.015346161067325143,-0.48087597834468965,4.190055477400894,-6.262592214442643,0.16816761403427405
